doi,label,person
10.1016/j.scitotenv.2023.163947,Neotoma,0000-0002-2700-4605
10.1007/s10113-023-02056-9,Neotoma,0000-0002-2700-4605
10.1111/brv.12968,Neotoma,0000-0002-2700-4605
10.1093/aob/mcad055,Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0277389,Neotoma,0000-0002-2700-4605
10.1093/pnasnexus/pgad061,Neotoma,0000-0002-2700-4605
10.1038/s41467-023-37388-x,Neotoma,0000-0002-2700-4605
10.1111/ele.14196,Neotoma,0000-0002-2700-4605
10.1016/j.dib.2023.109033,Neotoma,0000-0002-2700-4605
10.1016/j.scib.2023.03.013,Neotoma,0000-0002-2700-4605
10.1002/ece3.9876,Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0282178,Neotoma,0000-0002-2700-4605
10.1002/ece3.9807,Neotoma,0000-0002-2700-4605
10.1093/pnasnexus/pgac209,Neotoma,0000-0002-2700-4605
10.3389/fpls.2022.1071273,Neotoma,0000-0002-2700-4605
10.1038/s41467-023-38337-4,Maybe Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0284388,Maybe Neotoma,0000-0002-2700-4605
10.1111/nph.18852,Maybe Neotoma,0000-0002-2700-4605
10.1007/s10739-023-09704-0,Maybe Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1131557,Maybe Neotoma,0000-0002-2700-4605
10.1007/s10653-023-01517-8,Maybe Neotoma,0000-0002-2700-4605
10.1098/rsbl.2022.0523,Maybe Neotoma,0000-0002-2700-4605
10.1038/s41561-022-01056-4,Maybe Neotoma,0000-0002-2700-4605
10.1038/s41598-023-30072-6,Maybe Neotoma,0000-0002-2700-4605
10.1111/jmi.13175,Maybe Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0281008,Maybe Neotoma,0000-0002-2700-4605
10.1016/j.mex.2023.102016,Maybe Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad274,Not Neotoma,0000-0002-2700-4605
10.1016/bs.mcb.2022.12.015,Not Neotoma,0000-0002-2700-4605
10.1111/plb.13536,Not Neotoma,0000-0002-2700-4605
10.1164/rccm.202211-2107OC,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16178,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16181,Not Neotoma,0000-0002-2700-4605
10.1590/1519-6984.271366,Not Neotoma,0000-0002-2700-4605
10.1016/j.cub.2023.03.042,Not Neotoma,0000-0002-2700-4605
10.3855/jidc.16921,Not Neotoma,0000-0002-2700-4605
10.1364/OE.491422,Not Neotoma,0000-0002-2700-4605
10.1007/s00484-023-02483-7,Not Neotoma,0000-0002-2700-4605
10.1177/09526951221134002,Not Neotoma,0000-0002-2700-4605
10.4103/ijd.ijd_405_22,Not Neotoma,0000-0002-2700-4605
10.1038/s41598-023-34561-6,Not Neotoma,0000-0002-2700-4605
10.1038/s41598-023-34158-z,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.163762,Not Neotoma,0000-0002-2700-4605
10.1002/ajb2.16177,Not Neotoma,0000-0002-2700-4605
10.1021/acs.jafc.3c01358,Not Neotoma,0000-0002-2700-4605
10.1093/plphys/kiad262,Not Neotoma,0000-0002-2700-4605
10.1016/j.heliyon.2023.e15692,Not Neotoma,0000-0002-2700-4605
10.1093/iob/obad014,Not Neotoma,0000-0002-2700-4605
10.3389/fvets.2023.1175848,Not Neotoma,0000-0002-2700-4605
10.13201/j.issn.2096-7993.2023.05.012,Not Neotoma,0000-0002-2700-4605
10.1021/acs.jnatprod.3c00047,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.163795,Not Neotoma,0000-0002-2700-4605
10.1016/j.scitotenv.2023.163824,Not Neotoma,0000-0002-2700-4605
10.1513/AnnalsATS.202212-996CME,Not Neotoma,0000-0002-2700-4605
10.1371/journal.pone.0285079,Not Neotoma,0000-0002-2700-4605
10.1111/eva.13536,Not Neotoma,0000-0002-2700-4605
10.1111/eva.13538,Not Neotoma,0000-0002-2700-4605
10.3389/fcimb.2023.1178650,Not Neotoma,0000-0002-2700-4605
10.3389/fpls.2023.1131735,Not Neotoma,0000-0002-2700-4605
10.1080/1744666X.2023.2209319,Not Neotoma,0000-0002-2700-4605
10.1016/j.foodres.2023.112767,Not Neotoma,0000-0002-2700-4605
10.1016/j.foodres.2023.112699,Not Neotoma,0000-0002-2700-4605
10.1007/s11103-023-01348-2,Not Neotoma,0000-0002-2700-4605
10.1016/j.plantsci.2023.111719,Not Neotoma,0000-0002-2700-4605
10.1016/j.envres.2023.115969,Not Neotoma,0000-0002-2700-4605
10.1007/s13258-023-01383-9,Not Neotoma,0000-0002-2700-4605
10.3390/plants12081717,Not Neotoma,0000-0002-2700-4605
10.3390/plants12081709,Not Neotoma,0000-0002-2700-4605
10.3390/microorganisms11041005,Not Neotoma,0000-0002-2700-4605
