datasetid,doi,status_code,doi_in_crossref
195,10.1016/0033-5894(73)90004-5,,
1649,10.1016/0033-5894(73)90004-5,,
3482,10.1016/0033-5894(73)90004-5,,
3483,10.1016/0033-5894(73)90004-5,,
782,10.1139/e80-122,,
1740,10.1139/e80-122,,
1968,10.1139/e80-122,,
309,10.1017/S0033822200004781,,
8757,10.1017/S0033822200004781,,
2647,10.1130/0091-7613(1987)15<837:CRDOTP>2.0.CO;2,,
15104,10.2307/1551601  ,,
15105,10.2307/1551601  ,,
15106,10.2307/1551601  ,,
15110,10.2307/1551601  ,,
15111,10.2307/1551601  ,,
1398,10.2307/1551050  ,,
1399,10.2307/1551050  ,,
1400,10.2307/1551050  ,,
1401,10.2307/1551050  ,,
1402,10.2307/1551050  ,,
1403,10.2307/1551050  ,,
1404,10.2307/1551050  ,,
1405,10.2307/1551050  ,,
1406,10.2307/1551050  ,,
1407,10.2307/1551050  ,,
1408,10.2307/1551050  ,,
1409,10.2307/1551050  ,,
1410,10.2307/1551050  ,,
1411,10.2307/1551050  ,,
1412,10.2307/1551050  ,,
1413,10.2307/1551050  ,,
1414,10.2307/1551050  ,,
1415,10.2307/1551050  ,,
1416,10.2307/1551050  ,,
1417,10.2307/1551050  ,,
1418,10.2307/1551050  ,,
1419,10.2307/1551050  ,,
1420,10.2307/1551050  ,,
1421,10.2307/1551050  ,,
1422,10.2307/1551050  ,,
1423,10.2307/1551050  ,,
1424,10.2307/1551050  ,,
1425,10.2307/1551050  ,,
1426,10.2307/1551050  ,,
1427,10.2307/1551050  ,,
1428,10.2307/1551050  ,,
1429,10.2307/1551050  ,,
1430,10.2307/1551050  ,,
3150,10.2307/1551050  ,,
3151,10.2307/1551050  ,,
3152,10.2307/1551050  ,,
3153,10.2307/1551050  ,,
3154,10.2307/1551050  ,,
3155,10.2307/1551050  ,,
3156,10.2307/1551050  ,,
3157,10.2307/1551050  ,,
3158,10.2307/1551050  ,,
3159,10.2307/1551050  ,,
3160,10.2307/1551050  ,,
3161,10.2307/1551050  ,,
3162,10.2307/1551050  ,,
3163,10.2307/1551050  ,,
3164,10.2307/1551050  ,,
3165,10.2307/1551050  ,,
3166,10.2307/1551050  ,,
3167,10.2307/1551050  ,,
3168,10.2307/1551050  ,,
3169,10.2307/1551050  ,,
3170,10.2307/1551050  ,,
3171,10.2307/1551050  ,,
3172,10.2307/1551050  ,,
3173,10.2307/1551050  ,,
3174,10.2307/1551050  ,,
3175,10.2307/1551050  ,,
3176,10.2307/1551050  ,,
3177,10.2307/1551050  ,,
3178,10.2307/1551050  ,,
3179,10.2307/1551050  ,,
3180,10.2307/1551050  ,,
3181,10.2307/1551050  ,,
3182,10.2307/1551050  ,,
3183,10.2307/1551050  ,,
3184,10.2307/1551050  ,,
3185,10.2307/1551050  ,,
3186,10.2307/1551050  ,,
3187,10.2307/1551050  ,,
3188,10.2307/1551050  ,,
3189,10.2307/1551050  ,,
3190,10.2307/1551050  ,,
3191,10.2307/1551050  ,,
3192,10.2307/1551050  ,,
3193,10.2307/1551050  ,,
3194,10.2307/1551050  ,,
3195,10.2307/1551050  ,,
3196,10.2307/1551050  ,,
3197,10.2307/1551050  ,,
3198,10.2307/1551050  ,,
3199,10.2307/1551050  ,,
3200,10.2307/1551050  ,,
3201,10.2307/1551050  ,,
3202,10.2307/1551050  ,,
3203,10.2307/1551050  ,,
3204,10.2307/1551050  ,,
3205,10.2307/1551050  ,,
3206,10.2307/1551050  ,,
3207,10.2307/1551050  ,,
3208,10.2307/1551050  ,,
3209,10.2307/1551050  ,,
3210,10.2307/1551050  ,,
3211,10.2307/1551050  ,,
3212,10.2307/1551050  ,,
3213,10.2307/1551050  ,,
3214,10.2307/1551050  ,,
3215,10.2307/1551050  ,,
3216,10.2307/1551050  ,,
3217,10.2307/1551050  ,,
3218,10.2307/1551050  ,,
3219,10.2307/1551050  ,,
3220,10.2307/1551050  ,,
3221,10.2307/1551050  ,,
3222,10.2307/1551050  ,,
3223,10.2307/1551050  ,,
3224,10.2307/1551050  ,,
3225,10.2307/1551050  ,,
3226,10.2307/1551050  ,,
